Gene_Symbol	type	file
ARX	TranscriptionFactor	addTF_JL.tsv
ASCL1	TumorSuppressorGene, Oncogene, TranscriptionFactor	TumorSuppressorGene.txt, allOnco_Feb2017.tsv, addTF_JL.tsv
ASCL2	TranscriptionFactor	addTF_JL.tsv
ASCL3	TranscriptionFactor	addTF_JL.tsv
ASCL4	TranscriptionFactor	addTF_JL.tsv
ASCL5	TranscriptionFactor	addTF_JL.tsv
ASH1L	TranscriptionFactor	addTF_JL.tsv
ASL	Oncogene	allOnco_Feb2017.tsv
ASNS	Oncogene	allOnco_Feb2017.tsv
ASPM	Oncogene	allOnco_Feb2017.tsv
ASPSCR1	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
ASS1	TumorSuppressorGene	TumorSuppressorGene.txt
ASTN2	Oncogene	allOnco_Feb2017.tsv
ASXL1	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
ASXL2	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ATF1	CosmicCensus, Oncogene, TranscriptionFactor	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, addTF_JL.tsv
ATF2	Oncogene, TranscriptionFactor	allOnco_Feb2017.tsv, addTF_JL.tsv
ATF3	TumorSuppressorGene, Oncogene, TranscriptionFactor	TumorSuppressorGene.txt, allOnco_Feb2017.tsv, addTF_JL.tsv
ATF4	Oncogene, TranscriptionFactor	allOnco_Feb2017.tsv, addTF_JL.tsv
ATF5	Oncogene, TranscriptionFactor	allOnco_Feb2017.tsv, addTF_JL.tsv
ATF6	TranscriptionFactor	addTF_JL.tsv
ATF6B	TranscriptionFactor	addTF_JL.tsv
ATF7	TranscriptionFactor	addTF_JL.tsv
ATF7IP	Oncogene	allOnco_Feb2017.tsv
ATIC	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
ATM	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, PfamKinase
ATMIN	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv
ATOH1	TranscriptionFactor	addTF_JL.tsv
ATOH7	TranscriptionFactor	addTF_JL.tsv
ATOH8	TranscriptionFactor	addTF_JL.tsv
ATP1A1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ATP2B3	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ATP8B1	Oncogene	allOnco_Feb2017.tsv
ATR	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, PfamKinase
ATRX	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
AUH	Oncogene	allOnco_Feb2017.tsv
AURKA	Oncogene, Kinase	allOnco_Feb2017.tsv, PfamKinase
AURKB	Kinase	PfamKinase
AURKC	Kinase	PfamKinase
AVPI1	Oncogene	allOnco_Feb2017.tsv
AXIN1	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
AXIN2	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
