Kids_First_Biospecimen_ID	sample_id	tp53_score	tp53_shuffle
BS_0XHT9W4Q	7316UP-310	0.580004957079854	0.2523572153151893
BS_67V4F080	7316UP-759	0.5187057192138012	0.5820218116509621
C3N-02783	C3N-02783	0.203677849758635	0.6151434612079495
C3N-03473	C3N-03473	0.6975722410357801	0.27403782305154334
C3N-03088	C3N-03088	0.3048482560958551	0.5350237965504984
C3L-02984	C3L-02984	0.7907848070272628	0.5113752371204309
C3N-01364	C3N-01364	0.0227852519980984	0.4314473036001945
C3N-03184	C3N-03184	0.6073254105336965	0.6162576792851991
C3N-02784	C3N-02784	0.713060198055712	0.7128617601234317
C3L-03400	C3L-03400	0.6844249960715072	0.29485808584163437
C3N-00663	C3N-00663	0.7646816420758238	0.4372530576631963
C3N-02786	C3N-02786	0.7831786580331853	0.5234875947119106
C3L-01142	C3L-01142	0.14693883391165788	0.5528710202625208
C3L-02708	C3L-02708	0.7552807933180259	0.6659982108678947
C3L-03390	C3L-03390	0.4979258215103846	0.55189859623351
C3N-01798	C3N-01798	0.6231782820813969	0.46571702668401627
C3L-00674	C3L-00674	0.4592654855356859	0.18419664329773144
C3L-01049	C3L-01049	0.8126796507786718	0.6108581440374696
C3N-01851	C3N-01851	0.49629474510535454	0.54835913899608
C3N-02782	C3N-02782	0.30770152781410437	0.34233600799824476
C3N-03182	C3N-03182	0.6867682876294157	0.54757488250784
C3L-01149	C3L-01149	0.408330584293462	0.7532956564846549
C3L-01887	C3L-01887	0.5295659827876981	0.5358879998036775
C3N-01814	C3N-01814	0.477246747251076	0.6162996439344619
C3N-00661	C3N-00661	0.3458521231193639	0.519213328130717
C3N-01517	C3N-01517	0.5454664837385929	0.19504667638094217
C3L-01046	C3L-01046	0.4197390651000624	0.23954301523454297
C3L-02465	C3L-02465	0.32141606004772894	0.4908437314989219
C3L-03392	C3L-03392	0.17638534755691906	0.49213432683874264
C3L-01154	C3L-01154	0.34819287089906586	0.4641982707224311
C3L-02041	C3L-02041	0.8581112077264663	0.5729060526506259
C3L-02900	C3L-02900	0.8330555728527324	0.5684653726965601
C3N-01816	C3N-01816	0.2603598138195937	0.3701825624088627
C3N-02181	C3N-02181	0.6514800597638147	0.47844786486831775
C3N-02186	C3N-02186	0.6026343676592568	0.51961875692474
C3N-02190	C3N-02190	0.3200318464616754	0.6358427089634391
C3N-02769	C3N-02769	0.31143660499633424	0.6700068550047109
C3N-03180	C3N-03180	0.4552793282579373	0.6203764885168976
C3N-03183	C3N-03183	0.43957908566132115	0.6333896793433765
C3L-02704	C3L-02704	0.30183449797787754	0.4447985802145447
C3N-03186	C3N-03186	0.4398665402303564	0.6786228973379579
C3N-03188	C3N-03188	0.5593242400470687	0.5036978864665642
C3L-01156	C3L-01156	0.4967218156693652	0.5398894470189567
C3L-03407	C3L-03407	0.40118649001249646	0.5637159248932456
C3N-01369	C3N-01369	0.4479759993670014	0.4302445754884569
C3L-00104	C3L-00104	0.6674527596783065	0.4693354081849994
C3L-02542	C3L-02542	0.7084970271964119	0.736596837538406
C3L-02707	C3L-02707	0.3924716972150938	0.6530500997279609
C3L-02970	C3L-02970	0.7972479880236258	0.3652559781300156
C3L-00365	C3L-00365	0.7858699864449493	0.4417988360080728
C3L-01043	C3L-01043	0.5437179709234671	0.6028616648263926
C3L-01146	C3L-01146	0.3176389325375654	0.39699697878204737
C3L-03405	C3L-03405	0.2742134211761724	0.23164336811742817
C3N-01852	C3N-01852	0.4111558260148725	0.4513018043338852
C3N-02188	C3N-02188	0.28255478167456854	0.3058918187196958
C3L-01048	C3L-01048	0.7086515477363408	0.7140359897135653
C3L-02705	C3L-02705	0.4310785004005862	0.3276680249843782
C3L-03968	C3L-03968	0.7791521011503857	0.40338676244640903
C3N-01192	C3N-01192	0.3709331092966109	0.5330515679748087
C3N-01818	C3N-01818	0.6380099011547717	0.4477685751344535
C3L-03266	C3L-03266	0.5372005117158017	0.5302855482737492
C3N-02185	C3N-02185	0.7320766556877484	0.5139746687113678
C3L-03681	C3L-03681	0.13969447449746678	0.6924080424988069
C3L-04084	C3L-04084	0.42332663561720385	0.608106187142243
C3N-01366	C3N-01366	0.5275431440199682	0.4294814113950643
C3N-02183	C3N-02183	0.3900077029734855	0.3651099907763947
C3L-03748	C3L-03748	0.3277750977884001	0.5266374066005567
C3N-01334	C3N-01334	0.3447473985911126	0.6942655824817958
C3N-02788	C3N-02788	0.8097022881309855	0.6572198274697566
C3N-00665	C3N-00665	0.3451352479112637	0.2793111949800901
C3N-01368	C3N-01368	0.35960357001367504	0.4380832103564976
C3N-02256	C3N-02256	0.7586424692959118	0.7074464462603326
C3N-03070	C3N-03070	0.764236532540302	0.744184203471544
C3L-01061	C3L-01061	0.27190554845226267	0.45870502111924755
C3L-01155	C3L-01155	0.5226620445950306	0.47311865911067175
C3L-01157	C3L-01157	0.5559039936319204	0.3642264057257495
C3N-01856	C3N-01856	0.4600508456592951	0.5184814683615164
C3N-01196	C3N-01196	0.7172101739909802	0.4623866843201652
C3L-01834	C3L-01834	0.4648861117035899	0.48055103813735256
C3L-00677	C3L-00677	0.8717415511641657	0.38845542928871607
C3N-01857	C3N-01857	0.3345528919399466	0.3962151115616836
C3N-02785	C3N-02785	0.30338904133149464	0.27414234249376734
