gene	variable	chisq_test_pval	signif
H3C14	Age_Two_Groups	0.323853988204693	FALSE
RFC1	Age_Three_Groups	0.326617121926304	FALSE
BCOR	Age_Three_Groups	0.331314191014131	FALSE
DDX11	Sex	0.338660950910376	FALSE
RFC1	Sex	0.338660950910376	FALSE
APEX1	Age_Three_Groups	0.339059284400135	FALSE
CHIC2	Age_Two_Groups	0.340717183494831	FALSE
FIP1L1	Age_Two_Groups	0.340717183494831	FALSE
POLD4	Age_Two_Groups	0.340717183494831	FALSE
TOP3A	Age_Three_Groups	0.341150711980896	FALSE
PCNA	Age_Three_Groups	0.344627079392729	FALSE
AKT1	Age_Two_Groups	0.344907835415773	FALSE
ATM	Age_Three_Groups	0.345790265257944	FALSE
TOP2A	Age_Three_Groups	0.345790265257944	FALSE
TDRD9	Age_Three_Groups	0.352483531344786	FALSE
CDK6	Age_Three_Groups	0.353249860152365	FALSE
APEX1	Age_Two_Groups	0.353868454972103	FALSE
GAB2	Age_Two_Groups	0.353868454972103	FALSE
POLD3	Age_Two_Groups	0.353868454972103	FALSE
CDKN2B	Age_Three_Groups	0.354716415594427	FALSE
H3C14	Age_Three_Groups	0.355718653846377	FALSE
MAFK	Age_Three_Groups	0.357503509592473	FALSE
MBD4	Age_Two_Groups	0.35965550594485	FALSE
MDM4	Sex	0.360344799611451	FALSE
PARP1	Sex	0.360344799611451	FALSE
XRCC2	Age_Three_Groups	0.360710870587594	FALSE
ALK	Age_Two_Groups	0.36147652278505	FALSE
POLD2	Age_Two_Groups	0.373392761360015	FALSE
FOSB	Age_Two_Groups	0.373608281535257	FALSE
CDKN2C	Age_Three_Groups	0.375340063088044	FALSE
H3-3A	Age_Two_Groups	0.376161534897484	FALSE
CDK6	Sex	0.378664341883372	FALSE
CIC	Sex	0.391790418044364	FALSE
NTHL1	Sex	0.391790418044364	FALSE
RAD51C	Sex	0.391790418044364	FALSE
SLCO1B3	Sex	0.391790418044364	FALSE
FYN	Age_Three_Groups	0.395258711524169	FALSE
POLL	Age_Three_Groups	0.395258711524169	FALSE
FGFR1	Age_Three_Groups	0.400121773801911	FALSE
POLB	Age_Three_Groups	0.400121773801911	FALSE
ATM	Age_Two_Groups	0.400508057524992	FALSE
TOP2A	Age_Two_Groups	0.400508057524992	FALSE
TP53	Age_Three_Groups	0.406497182484846	FALSE
NEIL2	Sex	0.406917149949838	FALSE
POLL	Sex	0.411927748637085	FALSE
PARP2	Age_Three_Groups	0.416982838364018	FALSE
CIC	Age_Two_Groups	0.417350748799724	FALSE
PIK3C2G	Age_Two_Groups	0.417350748799724	FALSE
CHIC2	Age_Three_Groups	0.423123265413975	FALSE
FIP1L1	Age_Three_Groups	0.423123265413975	FALSE
POLD4	Age_Three_Groups	0.423123265413975	FALSE
FEN1	Sex	0.424431584775249	FALSE
PARP3	Sex	0.424431584775249	FALSE
XRCC1	Sex	0.424431584775249	FALSE
NTHL1	Age_Two_Groups	0.426068579253586	FALSE
SEM1	Age_Two_Groups	0.426068579253586	FALSE
SMARCE1	Age_Two_Groups	0.426068579253586	FALSE
NEIL3	Age_Three_Groups	0.428586296300151	FALSE
SEM1	Age_Three_Groups	0.438786127930721	FALSE
SMARCE1	Age_Three_Groups	0.438786127930721	FALSE
SLCO1B3	Age_Three_Groups	0.44898217080357	FALSE
KDR	Age_Two_Groups	0.449723980749731	FALSE
NTRK3	Age_Two_Groups	0.449723980749731	FALSE
REST	Age_Two_Groups	0.449723980749731	FALSE
RPA2	Age_Two_Groups	0.449723980749731	FALSE
PMS2	Age_Three_Groups	0.449920750305749	FALSE
NF1	Age_Three_Groups	0.457871358035521	FALSE
ACVR1	Sex	0.458436139559037	FALSE
MLH3	Age_Three_Groups	0.46585853282046	FALSE
ALK	Age_Three_Groups	0.466697879532583	FALSE
GAB2	Age_Three_Groups	0.467086113831126	FALSE
POLD3	Age_Three_Groups	0.467086113831126	FALSE
NRAS	Age_Two_Groups	0.470794942915452	FALSE
PARP2	Age_Two_Groups	0.470794942915452	FALSE
AKT1	Age_Three_Groups	0.471970851808029	FALSE
POLE4	Age_Three_Groups	0.477550942926392	FALSE
XRCC1	Age_Two_Groups	0.481515143165273	FALSE
FGFR2	Age_Three_Groups	0.481712940027131	FALSE
NF1	Sex	0.486787576659306	FALSE
RAD54L	Age_Two_Groups	0.487890822589863	FALSE
XRCC2	Age_Two_Groups	0.487890822589863	FALSE
DDR2	Sex	0.489994046450792	FALSE
NRAS	Sex	0.494039984295448	FALSE
RPA2	Age_Three_Groups	0.514935708178604	FALSE
KMT2C	Age_Two_Groups	0.514950976022531	FALSE
MLH3	Age_Two_Groups	0.514950976022531	FALSE
SSBP1	Age_Two_Groups	0.514950976022531	FALSE
KDR	Age_Three_Groups	0.523964458121108	FALSE
NTRK3	Age_Three_Groups	0.523964458121108	FALSE
REST	Age_Three_Groups	0.523964458121108	FALSE
EXO1	Age_Three_Groups	0.523998551271177	FALSE
TDG	Age_Three_Groups	0.523998551271177	FALSE
H3C14	Sex	0.531542735959421	FALSE
MBD4	Sex	0.531661020618676	FALSE
RFC2	Age_Three_Groups	0.531867700662978	FALSE
MSH6	Sex	0.541450189239015	FALSE
ROS1	Sex	0.542358085587841	FALSE
CDKN2B	Age_Two_Groups	0.547917356784017	FALSE
EXO1	Age_Two_Groups	0.547917356784017	FALSE
LIG3	Age_Two_Groups	0.547917356784017	FALSE
RAD51D	Age_Two_Groups	0.547917356784017	FALSE
TDG	Age_Two_Groups	0.547917356784017	FALSE
CIC	Age_Three_Groups	0.558474124172797	FALSE
MYC	Sex	0.565075404845785	FALSE
PDGFC	Age_Three_Groups	0.570896622839555	FALSE
PIK3CA	Age_Three_Groups	0.570896622839555	FALSE
SETD2	Age_Three_Groups	0.570896622839555	FALSE
APOBEC3H	Sex	0.575176115018241	FALSE
ASXL1	Sex	0.575176115018241	FALSE
EXO1	Sex	0.575176115018241	FALSE
LIG3	Sex	0.575176115018241	FALSE
RAD51D	Sex	0.575176115018241	FALSE
SETD2	Sex	0.575176115018241	FALSE
TDG	Sex	0.575176115018241	FALSE
YES1	Sex	0.575176115018241	FALSE
MRE11	Age_Two_Groups	0.580468225513379	FALSE
PDGFRA	Age_Two_Groups	0.580468225513379	FALSE
POLE	Age_Two_Groups	0.580468225513379	FALSE
RAD50	Age_Two_Groups	0.580468225513379	FALSE
TOP3B	Age_Two_Groups	0.580468225513379	FALSE
NRAS	Age_Three_Groups	0.583262857024276	FALSE
CDK4	Age_Three_Groups	0.588297759099889	FALSE
MSH3	Age_Three_Groups	0.588297759099889	FALSE
RAD52	Age_Three_Groups	0.588297759099889	FALSE
RAD54B	Age_Three_Groups	0.588297759099889	FALSE
NFIB	Sex	0.589045799931978	FALSE
NTRK1	Sex	0.589045799931978	FALSE
RAD54L	Age_Three_Groups	0.589882127451581	FALSE
NEIL2	Age_Three_Groups	0.604678766041674	FALSE
MAFK	Age_Two_Groups	0.606245622277964	FALSE
PIK3CA	Sex	0.611603771225202	FALSE
MYC	Age_Three_Groups	0.612620176462222	FALSE
DIS3L2P1	Age_Two_Groups	0.612672699590378	FALSE
RFC1	Age_Two_Groups	0.612672699590378	FALSE
MRE11	Age_Three_Groups	0.616804740737805	FALSE
TOP3B	Age_Three_Groups	0.616804740737805	FALSE
H2BC6	Sex	0.621346980410416	FALSE
H3C2	Sex	0.621346980410416	FALSE
H3C3	Sex	0.621346980410416	FALSE
HMGB1P1	Sex	0.621346980410416	FALSE
KRAS	Sex	0.621346980410416	FALSE
MTOR	Sex	0.621346980410416	FALSE
PIK3R1	Sex	0.621346980410416	FALSE
RFC3	Sex	0.621346980410416	FALSE
FGFR1	Sex	0.621846506236884	FALSE
MSH2	Sex	0.621846506236884	FALSE
PARP2	Sex	0.621846506236884	FALSE
POLE	Age_Three_Groups	0.62804759201898	FALSE
FGFR1	Age_Two_Groups	0.63366595964991	FALSE
POLB	Age_Two_Groups	0.63366595964991	FALSE
RPA3	Age_Two_Groups	0.644425424145691	FALSE
HMGB1	Age_Two_Groups	0.647012131586754	FALSE
LIG3	Age_Three_Groups	0.668706563092829	FALSE
RAD51D	Age_Three_Groups	0.668706563092829	FALSE
EGFR	Sex	0.670689934938654	FALSE
GOLPH3	Sex	0.670689934938654	FALSE
CDKN1B	Age_Three_Groups	0.672558907990325	FALSE
KRAS	Age_Three_Groups	0.672558907990325	FALSE
SSBP1	Sex	0.688188444157067	FALSE
XRCC3	Sex	0.688188444157067	FALSE
NEIL2	Age_Two_Groups	0.688756235478565	FALSE
RAD51	Age_Two_Groups	0.688756235478565	FALSE
NFIB	Age_Three_Groups	0.689878829008263	FALSE
NFIB	Age_Two_Groups	0.69908703477544	FALSE
NBN	Sex	0.700541841345767	FALSE
MYC	Age_Two_Groups	0.70132060918745	FALSE
TDRD9	Age_Two_Groups	0.70132060918745	FALSE
DIS3L2P1	Age_Three_Groups	0.704606283941474	FALSE
KRAS	Age_Two_Groups	0.712840440222696	FALSE
ARID1A	Sex	0.71607638853677	FALSE
RAD51B	Sex	0.71607638853677	FALSE
NBN	Age_Three_Groups	0.718575422992129	FALSE
UNG	Age_Three_Groups	0.718575422992129	FALSE
RPA3	Age_Three_Groups	0.720476652694671	FALSE
IDH1	Age_Three_Groups	0.721159728577454	FALSE
PTEN	Age_Three_Groups	0.721159728577454	FALSE
EGFR	Age_Two_Groups	0.732349938942352	FALSE
MDM2	Age_Three_Groups	0.734181638253818	FALSE
MLH1	Age_Three_Groups	0.734181638253818	FALSE
OGG1	Age_Three_Groups	0.734181638253818	FALSE
POLD1	Sex	0.741441274496631	FALSE
RFC2	Sex	0.741441274496631	FALSE
SMARCE1	Sex	0.741441274496631	FALSE
IDH1	Age_Two_Groups	0.746005010178008	FALSE
PTEN	Age_Two_Groups	0.746005010178008	FALSE
RB1	Age_Three_Groups	0.76227820775293	FALSE
AKT2	Age_Three_Groups	0.762510857856205	FALSE
HMGB1	Age_Three_Groups	0.768667862783374	FALSE
EZHIP	Sex	0.774391713938287	FALSE
RFC5	Sex	0.783010944635395	FALSE
POLD1	Age_Two_Groups	0.783030750639622	FALSE
AURKB	Sex	0.788703996494779	FALSE
MUTYH	Age_Three_Groups	0.79275721361692	FALSE
MTAP	Age_Three_Groups	0.794328637702613	FALSE
BRCA2	Age_Two_Groups	0.794645671670739	FALSE
MPG	Age_Two_Groups	0.794645671670739	FALSE
PIK3C2B	Age_Two_Groups	0.794645671670739	FALSE
RFC2	Age_Two_Groups	0.794645671670739	FALSE
ARID1A	Age_Three_Groups	0.794829289213049	FALSE
TOP3A	Sex	0.797660889455854	FALSE
AKT2	Sex	0.797903955998522	FALSE
MSH3	Sex	0.797903955998522	FALSE
PTPN11	Sex	0.797903955998522	FALSE
RAD54B	Sex	0.797903955998522	FALSE
TERT	Sex	0.797903955998522	FALSE
FBXW7	Age_Two_Groups	0.803851805344577	FALSE
FGFR2	Age_Two_Groups	0.807920700453519	FALSE
GOLPH3	Age_Two_Groups	0.807920700453519	FALSE
MET	Age_Three_Groups	0.808562331276904	FALSE
SMUG1	Age_Three_Groups	0.808562331276904	FALSE
MTAP	Age_Two_Groups	0.814471356794698	FALSE
POLD1	Age_Three_Groups	0.822908480266121	FALSE
TP53	Sex	0.830768008775205	FALSE
PCNA	Age_Two_Groups	0.83147422146108	FALSE
POLE4	Age_Two_Groups	0.83147422146108	FALSE
RB1	Age_Two_Groups	0.84418406899797	FALSE
MPG	Sex	0.844231123817997	FALSE
CDKN1B	Age_Two_Groups	0.846241932606149	FALSE
HMGB1P1	Age_Two_Groups	0.846241932606149	FALSE
PARP4	Age_Two_Groups	0.847044224564215	FALSE
CCND1	Sex	0.849551415268751	FALSE
PCNA	Sex	0.849551415268751	FALSE
IDH1	Sex	0.855256494104802	FALSE
PTEN	Sex	0.855256494104802	FALSE
EZHIP	Age_Three_Groups	0.857569505636192	FALSE
PTPN11	Age_Three_Groups	0.857569505636192	FALSE
CDKN2A	Sex	0.858394995017095	FALSE
RAD50	Sex	0.858394995017095	FALSE
TOP3B	Sex	0.858394995017095	FALSE
DDX11	Age_Three_Groups	0.860815647776172	FALSE
BRCA2	Age_Three_Groups	0.867803735098506	FALSE
PIK3C2B	Age_Three_Groups	0.867803735098506	FALSE
TSC2	Sex	0.870741760224981	FALSE
HMGB1P1	Age_Three_Groups	0.872896242868237	FALSE
MDM4	Age_Three_Groups	0.876637393654876	FALSE
AKT2	Age_Two_Groups	0.879453443433043	FALSE
EZHIP	Age_Two_Groups	0.879453443433043	FALSE
PTPN11	Age_Two_Groups	0.879453443433043	FALSE
APEX1	Sex	0.880896499363184	FALSE
MDM4	Age_Two_Groups	0.897549082745238	FALSE
MET	Age_Two_Groups	0.902656334588261	FALSE
MUTYH	Age_Two_Groups	0.902656334588261	FALSE
SMUG1	Age_Two_Groups	0.902656334588261	FALSE
PARP4	Age_Three_Groups	0.902689250288053	FALSE
MTAP	Sex	0.904108181520279	FALSE
MLH3	Sex	0.910760863690161	FALSE
RFC5	Age_Three_Groups	0.914647416210857	FALSE
PMS2	Sex	0.915499162214585	FALSE
APEX2	Age_Three_Groups	0.920185768270311	FALSE
RPA3	Sex	0.921776631234814	FALSE
MET	Sex	0.924051803998997	FALSE
MUTYH	Sex	0.924051803998997	FALSE
POLB	Sex	0.924051803998997	FALSE
RFC4	Age_Three_Groups	0.943552963344302	FALSE
ASXL1	Age_Three_Groups	0.944993539243071	FALSE
XRCC3	Age_Three_Groups	0.947593004511231	FALSE
CDKN2A	Age_Three_Groups	0.95153363928261	FALSE
PLAGL2	Age_Three_Groups	0.95153363928261	FALSE
ASXL1	Age_Two_Groups	0.954219167522537	FALSE
PDGFC	Age_Two_Groups	0.954219167522537	FALSE
PIK3CA	Age_Two_Groups	0.954219167522537	FALSE
SETD2	Age_Two_Groups	0.954219167522537	FALSE
CCND2	Age_Three_Groups	0.965825749239693	FALSE
RFC5	Age_Two_Groups	0.967021326206883	FALSE
MAFK	Sex	0.974566466188172	FALSE
ID3	Sex	0.975736277435721	FALSE
CDKN2B	Sex	0.978994430435916	FALSE
HMGB1P40	Sex	0.978994430435916	FALSE
PDGFC	Sex	0.978994430435916	FALSE
NF1	Age_Two_Groups	0.980723062698343	FALSE
TP53	Age_Two_Groups	0.980723062698343	FALSE
