ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
NUP43	NUP43	NUP43	TRUE	NP_942590.1	NP_942590.1
NUP50	NUP50	NUP50	TRUE	NP_009103.2	NP_009103.2
NUP54	NUP54	NUP54	TRUE	NP_001265532.1	NP_001265532.1
NUP58	NUP58	NUP58	TRUE	NP_001008564.1	NP_001008564.1
NUP62	NUP62	NUP62	TRUE	NP_001180286.1	NP_001180286.1
NUP85	NUP85	NUP85	TRUE	NP_079120.1	NP_079120.1
NUP88	NUP88	NUP88	TRUE	NP_002523.2	NP_002523.2
NUP93	NUP93	NUP93	TRUE	NP_055484.3	NP_055484.3
NUP98	NUP98	NUP98	TRUE	NP_057404.2	NP_057404.2
NUP42	NUP42	NUPL2	TRUE	NP_031368.1	NP_031368.1
NUPR1	NUPR1	NUPR1	TRUE	NP_001035948.1	NP_001035948.1
NUS1	NUS1	NUS1	TRUE	NP_612468.1	NP_612468.1
NUSAP1	NUSAP1	NUSAP1	TRUE	NP_001230073.1	NP_057443.2
NUTF2	NUTF2	NUTF2	TRUE	NP_001308967.1	NP_001308967.1
NVL	NVL	NVL	TRUE	NP_002524.2	NP_002524.2
NWD2	NWD2	NWD2	TRUE	NP_001138462.1	NP_001138462.1
NXF1	NXF1	NXF1	TRUE	NP_006353.2	NP_006353.2
NXN	NXN	NXN	TRUE	NP_071908.2	NP_071908.2
NXPH3	NXPH3	NXPH3	TRUE	NP_009156.2	NP_009156.2
NXT1	NXT1	NXT1	TRUE	NP_037380.1	NP_037380.1
NXT2	NXT2	NXT2	TRUE	NP_061168.2	NP_061168.2
NYAP1	NYAP1	NYAP1	TRUE	NP_775835.2	NP_775835.2
NYAP2	NYAP2	NYAP2	TRUE	NP_065915.1	NP_065915.1
OAF	OAF	OAF	TRUE	NP_848602.1	NP_848602.1
OARD1	OARD1	OARD1	TRUE	NP_001316613.1	NP_001316613.1
OAS1	OAS1	OAS1	TRUE	NP_001027581.1	NP_058132.2
OAS2	OAS2	OAS2	TRUE	NP_002526.2	NP_058197.2
OAS3	OAS3	OAS3	TRUE	NP_006178.2	NP_006178.2
OASL	OASL	OASL	TRUE	NP_001248754.1	NP_003724.1
OAT	OAT	OAT	TRUE	NP_000265.1	NP_000265.1
OBSL1	OBSL1	OBSL1	TRUE	NP_001166902.1	NP_001166902.1
OCIAD1	OCIAD1	OCIAD1	TRUE	NP_001073308.1	NP_001073308.1
OCIAD2	OCIAD2	OCIAD2	TRUE	NP_001014446.1	NP_001014446.1
OCLN	OCLN	OCLN	TRUE	NP_001192183.1	NP_001192183.1
OCRL	OCRL	OCRL	TRUE	NP_000267.2	NP_000267.2
ODF2	ODF2	ODF2	TRUE	NP_001229281.1	NP_001229282.1
ODR4	ODR4	ODR4	TRUE	NP_060317.3	NP_060317.3
OFD1	OFD1	OFD1	TRUE	NP_001317138.1	NP_001317138.1
OGA	OGA	OGA	TRUE	NP_036347.1	NP_036347.1
OGDH	OGDH	OGDH	TRUE	NP_002532.2	NP_002532.2;NP_001350452.1
OGDHL	OGDHL	OGDHL	TRUE	NP_001334748.1	NP_001334748.1
OGFOD1	OGFOD1	OGFOD1	TRUE	NP_001311286.1	NP_001311286.1
OGFOD2	OGFOD2	OGFOD2	TRUE	NP_001291762.1	NP_001291762.1
OGFOD3	OGFOD3	OGFOD3	TRUE	NP_078924.1	NP_078924.1
OGFR	OGFR	OGFR	TRUE	NP_031372.2	NP_031372.2
OGFRL1	OGFRL1	OGFRL1	TRUE	NP_001311195.1	NP_001311195.1
OGN	OGN	OGN	TRUE	NP_054776.1	NP_054776.1
OGT	OGT	OGT	TRUE	NP_858058.1	NP_858058.1;NP_858059.1
OLA1	OLA1	OLA1	TRUE	NP_037473.3	NP_037473.3
OLFM1	OLFM1	OLFM1	TRUE	NP_001269540.1	NP_001269540.1
OLFM2	OLFM2	OLFM2	TRUE	NP_001291276.1	NP_001291276.1
OLFM3	OLFM3	OLFM3	TRUE	NP_001275750.1	NP_001275750.1
OLFM4	OLFM4	OLFM4	TRUE	NP_006409.3	NP_006409.3
OLFML1	OLFML1	OLFML1	TRUE	NP_940876.2	NP_940876.2
OLFML2A	OLFML2A	OLFML2A	TRUE	NP_872293.2	NP_872293.2
OLFML2B	OLFML2B	OLFML2B	TRUE	NP_001284642.1	NP_056256.1
OLFML3	OLFML3	OLFML3	TRUE	NP_064575.1	NP_064575.1
OLIG1	OLIG1	OLIG1	TRUE	NP_620450.2	NP_620450.2
OLIG2	OLIG2	OLIG2	TRUE	NP_005797.1	NP_005797.1
OMA1	OMA1	OMA1	TRUE	NP_660286.1	NP_660286.1
OMD	OMD	OMD	TRUE	NP_005005.1	NP_005005.1
OMG	OMG	OMG	TRUE	NP_002535.3	NP_002535.3
OPA1	OPA1	OPA1	TRUE	NP_570849.2	NP_570849.2
OPA3	OPA3	OPA3	TRUE	NP_079412.1	NP_079412.1
OPALIN	OPALIN	OPALIN	TRUE	NP_001035191.1	NP_001035191.1
OPCML	OPCML	OPCML	TRUE	NP_001012393.1	NP_001012393.1
OPHN1	OPHN1	OPHN1	TRUE	NP_002538.1	NP_002538.1
OPLAH	OPLAH	OPLAH	TRUE	NP_060040.1	NP_060040.1
OPTN	OPTN	OPTN	TRUE	NP_001008212.1	NP_001008212.1
OR7D2	OR7D2	OR7D2	TRUE	NA	NP_787079.1
ORAI1	ORAI1	ORAI1	TRUE	NP_116179.2	NP_116179.2
ORAI2	ORAI2	ORAI2	TRUE	NP_001119812.1	NP_001119812.1
ORC1	ORC1	ORC1	TRUE	NA	NP_001177747.1
ORC2	ORC2	ORC2	TRUE	NP_006181.1	NP_006181.1
ORC3	ORC3	ORC3	TRUE	NP_036513.2	NP_036513.2
ORC4	ORC4	ORC4	TRUE	NP_001177808.1	NP_001177808.1
ORC5	ORC5	ORC5	TRUE	NP_002544.1	NP_002544.1
ORM1	ORM1	ORM1	TRUE	NP_000598.2	NP_000598.2
ORM2	ORM2	ORM2	TRUE	NP_000599.1	NP_000599.1
ORMDL1	ORMDL1	ORMDL1	TRUE	NP_001121622.1	NP_001121622.1
ORMDL3	ORMDL3	ORMDL3	TRUE	NP_001307730.1	NP_001307730.1
OS9	OS9	OS9	TRUE	NP_006803.1;NP_001017956.1	NP_006803.1;NP_001017956.1
OSBP	OSBP	OSBP	TRUE	NP_002547.1	NP_002547.1
OSBP2	OSBP2	OSBP2	TRUE	NP_001269668.1	NP_001269668.1
OSBPL10	OSBPL10	OSBPL10	TRUE	NP_060254.2	NP_060254.2
OSBPL11	OSBPL11	OSBPL11	TRUE	NP_073613.2	NP_073613.2
OSBPL1A	OSBPL1A	OSBPL1A	TRUE	NP_542164.2	NP_542164.2
OSBPL2	OSBPL2	OSBPL2	TRUE	NP_055650.1	NP_055650.1
OSBPL3	OSBPL3	OSBPL3	TRUE	NP_056365.1	NP_663161.1;NP_056365.1;NP_663160.1
OSBPL5	OSBPL5	OSBPL5	TRUE	NP_065947.1	NP_065947.1
OSBPL6	OSBPL6	OSBPL6	TRUE	NP_001188410.1;NP_665682.1;NP_001188411.1	NP_001188410.1;NP_001188409.1;NP_001188411.1
OSBPL7	OSBPL7	OSBPL7	TRUE	NP_665741.1	NP_665741.1
OSBPL8	OSBPL8	OSBPL8	TRUE	NP_065892.1;NP_001306582.1	NP_065892.1;NP_001306582.1
OSBPL9	OSBPL9	OSBPL9	TRUE	NP_078862.4	NP_078862.4;NP_683705.1
OSCP1	OSCP1	OSCP1	TRUE	NP_001317422.1	NP_001317422.1
OSGEP	OSGEP	OSGEP	TRUE	NP_060277.1	NP_060277.1
OSGEPL1	OSGEPL1	OSGEPL1	TRUE	NP_001341276.1	NP_001341276.1
OSMR	OSMR	OSMR	TRUE	NP_001310434.1	NP_001310434.1
OSTC	OSTC	OSTC	TRUE	NP_001254746.1	NP_067050.1
OSTF1	OSTF1	OSTF1	TRUE	NP_036515.4	NP_036515.4
OSTM1	OSTM1	OSTM1	TRUE	NP_054747.2	NP_054747.2
OTUB1	OTUB1	OTUB1	TRUE	NP_060140.2	NP_060140.2
OTUD1	OTUD1	OTUD1	TRUE	NP_001138845.1	NP_001138845.1
OTUD3	OTUD3	OTUD3	TRUE	NA	NP_056022.1
OTUD4	OTUD4	OTUD4	TRUE	NP_001096123.1	NP_001096123.1
OTUD5	OTUD5	OTUD5	TRUE	NP_001129629.1	NP_001129629.1
OTUD6B	OTUD6B	OTUD6B	TRUE	NP_057107.3	NP_057107.3
OTUD7A	OTUD7A	OTUD7A	TRUE	NP_570971.1	NP_570971.1;NP_001316836.1
OTUD7B	OTUD7B	OTUD7B	TRUE	NP_064590.2	NP_064590.2
OTULIN	OTULIN	OTULIN	TRUE	NP_612357.4	NP_612357.4
OTULINL	OTULINL	OTULINL	TRUE	NP_061891.1	NP_061891.1
OVCA2	OVCA2	OVCA2	TRUE	NP_543012.1	NP_543012.1
OXA1L	OXA1L	OXA1L	TRUE	NP_005006.3	NP_005006.3
OXCT1	OXCT1	OXCT1	TRUE	NP_000427.1	NP_001351229.1
OXLD1	OXLD1	OXLD1	TRUE	NP_001034931.1	NP_001034931.1
OXNAD1	OXNAD1	OXNAD1	TRUE	NP_001317599.1	NP_001317599.1
OXR1	OXR1	OXR1	TRUE	NP_001185462.1	NP_001185462.1;NP_851999.2
OXSM	OXSM	OXSM	TRUE	NP_060367.1	NP_060367.1
OXSR1	OXSR1	OXSR1	TRUE	NP_005100.1	NP_005100.1
OXTR	OXTR	OXTR	TRUE	NP_000907.2	NP_000907.2
P2RX4	P2RX4	P2RX4	TRUE	NP_001243725.1	NP_001243725.1
P2RX7	P2RX7	P2RX7	TRUE	NP_002553.3	NP_002553.3
P2RY1	P2RY1	P2RY1	TRUE	NP_002554.1	NP_002554.1
P2RY12	P2RY12	P2RY12	TRUE	NP_073625.1	NP_073625.1
P2RY13	P2RY13	P2RY13	TRUE	NP_795713.2	NP_795713.2
P3H1	P3H1	P3H1	TRUE	NP_071751.3	NP_071751.3
P3H2	P3H2	P3H2	TRUE	NP_060662.2	NP_060662.2
P3H3	P3H3	P3H3	TRUE	NP_055077.2	NP_055077.2
P3H4	P3H4	P3H4	TRUE	NP_006446.1	NP_006446.1
P4HA1	P4HA1	P4HA1	TRUE	NP_000908.2;NP_001017962.1	NP_000908.2;NP_001017962.1
P4HA2	P4HA2	P4HA2	TRUE	NP_001136071.1	NP_001136071.1
P4HB	P4HB	P4HB	TRUE	NP_000909.2	NP_000909.2
P4HTM	P4HTM	P4HTM	TRUE	NP_808807.2	NP_808807.2
PA2G4	PA2G4	PA2G4	TRUE	NP_006182.2	NP_006182.2
PAAF1	PAAF1	PAAF1	TRUE	NP_079431.1	NP_079431.1
PABPC1	PABPC1	PABPC1	TRUE	NP_002559.2	NP_002559.2
PABPC1L	PABPC1L	PABPC1L	TRUE	NP_001118228.1	NA
PABPC1L2A	PABPC1L2A	PABPC1L2A	TRUE	NP_001012995.1	NP_001012995.1
PABPC4	PABPC4	PABPC4	TRUE	NP_001129125.1;NP_003810.1	NP_003810.1;NP_001129125.1
PABPN1	PABPN1	PABPN1	TRUE	NP_004634.1	NP_004634.1
PACS1	PACS1	PACS1	TRUE	NP_060496.2	NP_060496.2
PACS2	PACS2	PACS2	TRUE	NP_056012.2	NP_001094383.2
PACSIN1	PACSIN1	PACSIN1	TRUE	NP_001186512.1	NP_001186512.1
PACSIN2	PACSIN2	PACSIN2	TRUE	NP_001171900.1;NP_001171899.1	NP_001171899.1;NP_001336897.1
PACSIN3	PACSIN3	PACSIN3	TRUE	NP_001171903.1	NP_001171903.1
PADI2	PADI2	PADI2	TRUE	NP_031391.2	NP_031391.2
PADI4	PADI4	PADI4	TRUE	NP_036519.2	NP_036519.2
PAF1	PAF1	PAF1	TRUE	NP_061961.2	NP_061961.2
PAFAH1B1	PAFAH1B1	PAFAH1B1	TRUE	NP_000421.1	NP_000421.1
PAFAH1B2	PAFAH1B2	PAFAH1B2	TRUE	NP_002563.1	NP_002563.1
PAFAH1B3	PAFAH1B3	PAFAH1B3	TRUE	NP_001139411.1	NP_001139411.1
PAFAH2	PAFAH2	PAFAH2	TRUE	NP_000428.2	NP_000428.2
PAG1	PAG1	PAG1	TRUE	NP_060910.3	NP_060910.3
PAGR1	PAGR1	PAGR1	TRUE	NP_078792.1	NP_078792.1
PAICS	PAICS	PAICS	TRUE	NP_001072992.1	NP_001072992.1
PAIP1	PAIP1	PAIP1	TRUE	NP_877590.1	NP_006442.2
PAIP2	PAIP2	PAIP2	TRUE	NP_001028284.1	NP_001028284.1
PAIP2B	PAIP2B	PAIP2B	TRUE	NP_065192.1	NP_065192.1
PAK1	PAK1	PAK1	TRUE	NP_002567.3	NP_002567.3
PAK1IP1	PAK1IP1	PAK1IP1	TRUE	NP_060376.2	NP_060376.2
PAK2	PAK2	PAK2	TRUE	NP_002568.2	NP_002568.2
PAK3	PAK3	PAK3	TRUE	NP_001121638.1	NP_001121645.1
PAK4	PAK4	PAK4	TRUE	NP_001014831.1	NP_001014831.1
PAK5	PAK5	PAK5	TRUE	NP_065074.1	NP_065074.1
PALD1	PALD1	PALD1	TRUE	NP_055246.2	NP_055246.2
PALLD	PALLD	PALLD	TRUE	NP_057165.3;NP_001159581.1;NP_001159582.1	NP_001159582.1;NP_057165.3
PALM	PALM	PALM	TRUE	NP_002570.2;NP_001035224.1	NP_002570.2;NP_001035224.1
PALM2AKAP2	PALM2	PALM2	TRUE	NP_443749.5;NP_001032370.1	NP_443749.5;NP_001032370.1
PALM2AKAP2	PALM2AKAP2	PALM2-AKAP2	TRUE	NP_671492.1	NP_671492.1
PALM3	PALM3	PALM3	TRUE	NP_001138500.1	NP_001138500.1
PALMD	PALMD	PALMD	TRUE	NP_060204.1	NP_060204.1
PAM	PAM	PAM	TRUE	NP_000910.2	NP_001170777.1
PAMR1	PAMR1	PAMR1	TRUE	NP_001001991.1	NP_056245.2
PAN2	PAN2	PAN2	TRUE	NP_001120932.1	NP_055686.3
PAN3	PAN3	PAN3	TRUE	NP_787050.6	NP_787050.6
PANK1	PANK1	PANK1	TRUE	NP_683878.1	NP_683878.1
PANK2	PANK2	PANK2	TRUE	NP_705902.2	NP_705902.2
PANK3	PANK3	PANK3	TRUE	NP_078870.1	NP_078870.1
PANK4	PANK4	PANK4	TRUE	NP_060686.2	NP_060686.2
PANX1	PANX1	PANX1	TRUE	NP_056183.2	NP_056183.2
PAOX	PAOX	PAOX	TRUE	NP_690875.1	NP_690875.1
PAPLN	PAPLN	PAPLN	TRUE	NP_775733.3	NP_775733.3
PAPOLA	PAPOLA	PAPOLA	TRUE	NP_001280556.1	NP_116021.2;NP_001350591.1
PAPOLG	PAPOLG	PAPOLG	TRUE	NP_075045.2	NP_075045.2
PAPPA2	PAPPA2	PAPPA2	TRUE	NP_064714.2	NP_064714.2
PAPSS1	PAPSS1	PAPSS1	TRUE	NP_005434.4	NP_005434.4
PAPSS2	PAPSS2	PAPSS2	TRUE	NP_001015880.1	NP_001015880.1
PAQR4	PAQR4	PAQR4	TRUE	NP_001271440.1	NP_001271440.1
PAQR7	PAQR7	PAQR7	TRUE	NA	NP_848509.1
PARD3	PARD3	PARD3	TRUE	NP_001171714.1	NP_001171714.1
PARD3B	PARD3B	PARD3B	TRUE	NP_001289698.1	NP_001289698.1
PARD6B	PARD6B	PARD6B	TRUE	NP_115910.1	NP_115910.1
PARD6G	PARD6G	PARD6G	TRUE	NP_115899.1	NP_115899.1
PARG	PARG	PARG	TRUE	NP_001290415.1	NP_003622.2
PARK7	PARK7	PARK7	TRUE	NP_001116849.1	NP_001116849.1
PARL	PARL	PARL	TRUE	NP_001311365.1	NP_001311365.1
PARM1	PARM1	PARM1	TRUE	NP_056208.2	NP_056208.2
PARN	PARN	PARN	TRUE	NP_001127949.1	NP_001127949.1
PARP1	PARP1	PARP1	TRUE	NP_001609.2	NP_001609.2
PARP10	PARP10	PARP10	TRUE	NP_001304824.1	NP_001304824.1
PARP12	PARP12	PARP12	TRUE	NP_073587.1	NP_073587.1
PARP14	PARP14	PARP14	TRUE	NP_060024.2	NP_060024.2
PARP16	PARP16	PARP16	TRUE	NP_001303872.1	NP_001303872.1
PARP2	PARP2	PARP2	TRUE	NP_001036083.1	NP_001036083.1
PARP4	PARP4	PARP4	TRUE	NP_006428.2	NP_006428.2
PARP9	PARP9	PARP9	TRUE	NP_001139575.1	NP_001139575.1
PARS2	PARS2	PARS2	TRUE	NP_689481.2	NP_689481.2
PARVA	PARVA	PARVA	TRUE	NP_060692.3	NP_060692.3
PARVB	PARVB	PARVB	TRUE	NP_037459.2	NP_037459.2
PARVG	PARVG	PARVG	TRUE	NP_001131077.1	NP_001131077.1
PASK	PASK	PASK	TRUE	NP_001239048.1	NP_001239049.1
PATJ	PATJ	PATJ	TRUE	NP_001337074.1	NP_001337074.1
PATL1	PATL1	PATL1	TRUE	NP_689929.2	NP_689929.2
PATZ1	PATZ1	PATZ1	TRUE	NP_055138.2	NP_055138.2
PAWR	PAWR	PAWR	TRUE	NP_001341661.1	NP_001341661.1
PAX6	PAX6	PAX6	TRUE	NA	NP_000271.1
PAXBP1	PAXBP1	PAXBP1	TRUE	NP_057715.2	NP_057715.2
PAXIP1	PAXIP1	PAXIP1	TRUE	NP_031375.3	NP_031375.3
PAXX	PAXX	PAXX	TRUE	NP_899064.1	NP_899064.1;NP_001316607.1
PBDC1	PBDC1	PBDC1	TRUE	NP_057584.2	NP_057584.2
PBK	PBK	PBK	TRUE	NP_001349969.1	NP_001349969.1
PBLD	PBLD	PBLD	TRUE	NP_071412.2	NP_071412.2
PBRM1	PBRM1	PBRM1	TRUE	NP_001337003.1	NP_001337003.1
PBX1	PBX1	PBX1	TRUE	NP_001191890.1	NP_001191890.1
PBX2	PBX2	PBX2	TRUE	NP_002577.2	NP_002577.2
PBX3	PBX3	PBX3	TRUE	NP_001317711.1	NP_001317711.1
PBXIP1	PBXIP1	PBXIP1	TRUE	NP_065385.2	NP_065385.2
PC	PC	PC	TRUE	NP_000911.2	NP_000911.2
PCBD1	PCBD1	PCBD1	TRUE	NP_000272.1	NP_000272.1
PCBD2	PCBD2	PCBD2	TRUE	NP_115527.3	NP_115527.3
PCBP1	PCBP1	PCBP1	TRUE	NP_006187.2	NP_006187.2
PCBP2	PCBP2	PCBP2	TRUE	NP_114366.1;NP_001092090.1;NP_001122383.1	NP_001092090.1;NP_114366.1;NP_001122384.1;NP_005007.2
PCBP3	PCBP3	PCBP3	TRUE	NP_001335167.1	NP_001335171.1
PCBP4	PCBP4	PCBP4	TRUE	NP_001167571.1	NP_001167571.1
PCCA	PCCA	PCCA	TRUE	NP_000273.2	NP_000273.2
PCCB	PCCB	PCCB	TRUE	NP_000523.2	NP_000523.2
PCDH1	PCDH1	PCDH1	TRUE	NP_115796.2	NP_115796.2
PCDH10	PCDH10	PCDH10	TRUE	NP_116586.1	NP_116586.1
PCDH12	PCDH12	PCDH12	TRUE	NP_057664.1	NP_057664.1
PCDH17	PCDH17	PCDH17	TRUE	NP_001035519.1	NP_001035519.1
PCDH18	PCDH18	PCDH18	TRUE	NP_001287757.1	NP_001287757.1
PCDH19	PCDH19	PCDH19	TRUE	NP_001098713.1	NP_001098713.1
PCDH7	PCDH7	PCDH7	TRUE	NP_115833.2	NP_001166994.1;NP_115833.2
PCDH8	PCDH8	PCDH8	TRUE	NP_002581.2	NP_002581.2
PCDH9	PCDH9	PCDH9	TRUE	NP_001305301.1	NP_982354.1;NP_001305303.1
PCDHAC2	PCDHAC2	PCDHAC2	TRUE	NP_061722.1	NP_061722.1
PCDHB16	PCDHB16	PCDHB16	TRUE	NP_066008.2	NP_066008.2
PCDHB4	PCDHB4	PCDHB4	TRUE	NP_061761.1	NP_061761.1
PCDHB5	PCDHB5	PCDHB5	TRUE	NP_056484.2	NP_056484.2
PCDHB7	PCDHB7	PCDHB7	TRUE	NA	NP_061763.1
PCDHGA10	PCDHGA10	PCDHGA10	TRUE	NP_061736.1	NP_061736.1
PCDHGA9	PCDHGA9	PCDHGA9	TRUE	NP_061744.1	NP_061744.1
PCDHGB2	PCDHGB2	PCDHGB2	TRUE	NP_061746.1	NP_061746.1
PCDHGB7	PCDHGB7	PCDHGB7	TRUE	NP_061750.1	NP_061750.1
PCDHGC3	PCDHGC3	PCDHGC3	TRUE	NP_002579.2	NP_002579.2
PCDHGC4	PCDHGC4	PCDHGC4	TRUE	NA	NP_061751.1
PCDHGC5	PCDHGC5	PCDHGC5	TRUE	NP_115783.1	NP_061752.1
PCF11	PCF11	PCF11	TRUE	NP_001333342.1	NP_001333342.1
PCGF2	PCGF2	PCGF2	TRUE	NP_009075.1	NP_009075.1
PCGF5	PCGF5	PCGF5	TRUE	NP_001243478.1	NP_001243478.1
PCGF6	PCGF6	PCGF6	TRUE	NA	NP_001011663.1
PCID2	PCID2	PCID2	TRUE	NP_001120674.1	NP_001120674.1
PCIF1	PCIF1	PCIF1	TRUE	NP_071387.1	NP_071387.1
PCK2	PCK2	PCK2	TRUE	NP_004554.3	NP_004554.3
PCLAF	PCLAF	PCLAF	TRUE	NP_055551.1	NP_055551.1
PCLO	PCLO	PCLO	TRUE	NP_149015.2	NP_149015.2
PCM1	PCM1	PCM1	TRUE	NP_001339579.1;NP_001339562.1	NP_001339561.1;NP_001339562.1
PCMT1	PCMT1	PCMT1	TRUE	NP_001238978.1	NP_001238978.1
PCMTD1	PCMTD1	PCMTD1	TRUE	NP_001273711.1	NP_443169.2
PCMTD2	PCMTD2	PCMTD2	TRUE	NP_060727.2	NP_060727.2
PCNA	PCNA	PCNA	TRUE	NP_002583.1	NP_002583.1
PCNP	PCNP	PCNP	TRUE	NP_065090.1	NP_001307327.1
PCNT	PCNT	PCNT	TRUE	NP_001302458.1	NP_006022.3
PCNX1	PCNX1	PCNX1	TRUE	NA	NP_001295089.1
PCNX3	PCNX3	PCNX3	TRUE	NP_115599.2	NP_115599.2
PCOLCE	PCOLCE	PCOLCE	TRUE	NP_002584.2	NP_002584.2
PCOLCE2	PCOLCE2	PCOLCE2	TRUE	NP_037495.1	NP_037495.1
PCP4	PCP4	PCP4	TRUE	NP_006189.2	NP_006189.2
PCP4L1	PCP4L1	PCP4L1	TRUE	NP_001096036.1	NP_001096036.1
PCSK1	PCSK1	PCSK1	TRUE	NP_000430.3	NP_000430.3
PCSK1N	PCSK1N	PCSK1N	TRUE	NP_037403.1	NP_037403.1
PCSK2	PCSK2	PCSK2	TRUE	NP_001188457.1	NP_001188457.1
PCSK5	PCSK5	PCSK5	TRUE	NP_001177411.1	NP_001177411.1
PCSK6	PCSK6	PCSK6	TRUE	NP_001278238.1	NP_001278238.1
PCSK9	PCSK9	PCSK9	TRUE	NP_777596.2	NP_777596.2
PCTP	PCTP	PCTP	TRUE	NP_067036.2	NP_067036.2
PCYOX1	PCYOX1	PCYOX1	TRUE	NP_057381.3	NP_057381.3
PCYOX1L	PCYOX1L	PCYOX1L	TRUE	NP_076933.3	NP_076933.3
PCYT1A	PCYT1A	PCYT1A	TRUE	NP_001299602.1	NP_001299602.1
PCYT1B	PCYT1B	PCYT1B	TRUE	NP_004836.2	NP_004836.2
PCYT2	PCYT2	PCYT2	TRUE	NP_001171846.1	NP_001171846.1
PDAP1	PDAP1	PDAP1	TRUE	NP_055706.1	NP_055706.1
PDCD10	PDCD10	PDCD10	TRUE	NP_009148.2	NP_009148.2
PDCD11	PDCD11	PDCD11	TRUE	NP_055791.1	NP_055791.1
PDCD2	PDCD2	PDCD2	TRUE	NP_001186391.1	NP_001186391.1
PDCD2L	PDCD2L	PDCD2L	TRUE	NP_115722.1	NP_115722.1
PDCD4	PDCD4	PDCD4	TRUE	NP_001186421.1	NP_001186421.1
PDCD5	PDCD5	PDCD5	TRUE	NP_004699.1	NP_004699.1
PDCD6	PDCD6	PDCD6	TRUE	NP_037364.1	NP_001254485.1
PDCD6IP	PDCD6IP	PDCD6IP	TRUE	NP_001155901.1;NP_037506.2	NP_001155901.1
PDCD7	PDCD7	PDCD7	TRUE	NP_005698.1	NP_005698.1
PDCL	PDCL	PDCL	TRUE	NP_005379.3	NP_005379.3
PDCL3	PDCL3	PDCL3	TRUE	NP_076970.1	NP_076970.1
PDE10A	PDE10A	PDE10A	TRUE	NP_001124162.1	NP_001124162.1
PDE12	PDE12	PDE12	TRUE	NP_808881.3	NP_808881.3
PDE1A	PDE1A	PDE1A	TRUE	NP_001245241.1	NP_005010.2
PDE1B	PDE1B	PDE1B	TRUE	NP_000915.1	NP_000915.1
PDE1C	PDE1C	PDE1C	TRUE	NP_001177986.1;NP_001308988.1	NP_001177986.1
PDE2A	PDE2A	PDE2A	TRUE	NP_001230713.1	NP_001230713.1
PDE3A	PDE3A	PDE3A	TRUE	NP_000912.3	NP_000912.3
PDE4A	PDE4A	PDE4A	TRUE	NP_001104777.1	NP_001104777.1
PDE4B	PDE4B	PDE4B	TRUE	NP_001032417.1	NP_001032417.1;NP_001032418.1
PDE4C	PDE4C	PDE4C	TRUE	NA	NP_001092288.1
PDE4D	PDE4D	PDE4D	TRUE	NP_001184147.1	NP_001184147.1;NP_001098101.1;NP_001336170.1
PDE4DIP	PDE4DIP	PDE4DIP	TRUE	NP_001337449.1;NP_001185761.2	NP_001185761.2;NP_001337449.1
PDE5A	PDE5A	PDE5A	TRUE	NP_001074.2	NP_001074.2
PDE6D	PDE6D	PDE6D	TRUE	NP_002592.1	NP_002592.1
PDE7A	PDE7A	PDE7A	TRUE	NA	NP_001229247.1
PDE7B	PDE7B	PDE7B	TRUE	NP_061818.1	NP_061818.1
PDE8A	PDE8A	PDE8A	TRUE	NP_002596.1	NP_001230066.1
PDE8B	PDE8B	PDE8B	TRUE	NP_001025023.1	NP_001336678.1
PDE9A	PDE9A	PDE9A	TRUE	NP_001001581.1	NP_001001581.1
PDF	PDF	PDF	TRUE	NP_071736.1	NP_071736.1
PDGFA	PDGFA	PDGFA	TRUE	NP_002598.4	NP_002598.4
PDGFC	PDGFC	PDGFC	TRUE	NP_057289.1	NP_057289.1
PDGFD	PDGFD	PDGFD	TRUE	NP_079484.1	NP_079484.1
PDGFRA	PDGFRA	PDGFRA	TRUE	NP_001334757.1	NP_001334757.1
PDGFRB	PDGFRB	PDGFRB	TRUE	NP_001341945.1	NP_001341945.1
PDHA1	PDHA1	PDHA1	TRUE	NP_000275.1	NP_000275.1
PDHB	PDHB	PDHB	TRUE	NP_000916.2	NP_000916.2
PDHX	PDHX	PDHX	TRUE	NP_001128496.1	NP_001128496.1
PDIA2	PDIA2	PDIA2	TRUE	NP_006840.2	NP_006840.2
PDIA3	PDIA3	PDIA3	TRUE	NP_005304.3	NP_005304.3
PDIA4	PDIA4	PDIA4	TRUE	NP_004902.1	NP_004902.1
PDIA5	PDIA5	PDIA5	TRUE	NP_006801.1	NP_006801.1
PDIA6	PDIA6	PDIA6	TRUE	NP_001269633.1	NP_001269633.1
PDK1	PDK1	PDK1	TRUE	NP_002601.1	NP_002601.1
PDK2	PDK2	PDK2	TRUE	NP_002602.2	NP_002602.2
PDK3	PDK3	PDK3	TRUE	NP_001135858.1	NP_001135858.1
PDLIM1	PDLIM1	PDLIM1	TRUE	NP_066272.1	NP_066272.1
PDLIM2	PDLIM2	PDLIM2	TRUE	NP_067643.3	NP_067643.3
PDLIM3	PDLIM3	PDLIM3	TRUE	NP_001107579.1	NP_001107579.1
PDLIM4	PDLIM4	PDLIM4	TRUE	NP_003678.2	NP_003678.2
PDLIM5	PDLIM5	PDLIM5	TRUE	NP_006448.4;NP_001243355.1	NP_001243355.1;NP_006448.4
PDLIM7	PDLIM7	PDLIM7	TRUE	NP_005442.2	NP_005442.2
PDP1	PDP1	PDP1	TRUE	NP_001155251.1	NP_001155251.1
