ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
COA3	COA3	COA3	TRUE	NP_001035521.1	NP_001035521.1
COA4	COA4	COA4	TRUE	NP_057649.2	NP_057649.2
COA5	COA5	COA5	TRUE	NP_001008216.1	NP_001008216.1
COA6	COA6	COA6	TRUE	NP_001013003.1	NP_001193570.2
COA7	COA7	COA7	TRUE	NP_075565.2	NP_075565.2
COASY	COASY	COASY	TRUE	NP_001035994.1	NP_001035994.1
COBL	COBL	COBL	TRUE	NP_001274365.1	NP_001274365.1
COBLL1	COBLL1	COBLL1	TRUE	NP_001265389.1	NP_001265387.1;NP_001265389.1;NP_055715.3
COG1	COG1	COG1	TRUE	NP_061184.1	NP_061184.1
COG2	COG2	COG2	TRUE	NP_001138508.1	NP_031383.1
COG3	COG3	COG3	TRUE	NP_113619.2	NP_113619.2
COG4	COG4	COG4	TRUE	NP_056201.2	NP_056201.2
COG5	COG5	COG5	TRUE	NP_006339.3	NP_006339.3
COG6	COG6	COG6	TRUE	NP_065802.1	NP_065802.1
COG7	COG7	COG7	TRUE	NP_705831.1	NP_705831.1
COG8	COG8	COG8	TRUE	NP_115758.3	NP_115758.3
COIL	COIL	COIL	TRUE	NP_004636.1	NP_004636.1
COL11A1	COL11A1	COL11A1	TRUE	NP_001177638.1	NP_001177638.1
COL11A2	COL11A2	COL11A2	TRUE	NP_542410.2	NP_542410.2
COL12A1	COL12A1	COL12A1	TRUE	NP_004361.3	NP_004361.3
COL14A1	COL14A1	COL14A1	TRUE	NP_066933.1	NP_066933.1
COL15A1	COL15A1	COL15A1	TRUE	NP_001846.3	NP_001846.3
COL16A1	COL16A1	COL16A1	TRUE	NP_001847.3	NP_001847.3
COL18A1	COL18A1	COL18A1	TRUE	NP_085059.2	NP_569711.2
COL1A1	COL1A1	COL1A1	TRUE	NP_000079.2	NP_000079.2
COL1A2	COL1A2	COL1A2	TRUE	NP_000080.2	NP_000080.2
COL20A1	COL20A1	COL20A1	TRUE	NP_065933.2	NP_065933.2
COL22A1	COL22A1	COL22A1	TRUE	NP_690848.1	NP_690848.1
COL28A1	COL28A1	COL28A1	TRUE	NP_001032852.2	NP_001032852.2
COL2A1	COL2A1	COL2A1	TRUE	NP_001835.3	NP_001835.3
COL3A1	COL3A1	COL3A1	TRUE	NP_000081.1	NP_000081.1
COL4A1	COL4A1	COL4A1	TRUE	NP_001836.3	NP_001836.3
COL4A2	COL4A2	COL4A2	TRUE	NP_001837.2	NP_001837.2
CERT1	CERT1	COL4A3BP	TRUE	NP_001123577.1	NP_001123577.1
COL5A1	COL5A1	COL5A1	TRUE	NP_000084.3	NP_000084.3;NP_001265003.1
COL5A2	COL5A2	COL5A2	TRUE	NP_000384.2	NP_000384.2
COL5A3	COL5A3	COL5A3	TRUE	NP_056534.2	NP_056534.2
COL6A1	COL6A1	COL6A1	TRUE	NP_001839.2	NP_001839.2
COL6A2	COL6A2	COL6A2	TRUE	NP_001840.3;NP_478054.2	NP_001840.3;NP_478054.2
COL6A3	COL6A3	COL6A3	TRUE	NP_004360.2;NP_476507.3	NP_004360.2;NP_476507.3
COL7A1	COL7A1	COL7A1	TRUE	NP_000085.1	NP_000085.1
COL9A2	COL9A2	COL9A2	TRUE	NP_001843.1	NP_001843.1
COL9A3	COL9A3	COL9A3	TRUE	NP_001844.3	NP_001844.3
COLEC11	COLEC11	COLEC11	TRUE	NP_001242911.1	NP_001242911.1
COLEC12	COLEC12	COLEC12	TRUE	NP_569057.1	NP_569057.1
COLGALT1	COLGALT1	COLGALT1	TRUE	NP_078932.2	NP_078932.2
COLGALT2	COLGALT2	COLGALT2	TRUE	NP_055916.1	NP_055916.1
COMMD1	COMMD1	COMMD1	TRUE	NP_689729.1	NP_689729.1
COMMD10	COMMD10	COMMD10	TRUE	NP_057228.1	NP_057228.1
COMMD2	COMMD2	COMMD2	TRUE	NP_057178.2	NP_057178.2
COMMD3	COMMD3	COMMD3	TRUE	NP_036203.1	NP_036203.1
COMMD4	COMMD4	COMMD4	TRUE	NP_060298.2	NP_060298.2
COMMD5	COMMD5	COMMD5	TRUE	NP_001074472.1	NP_001074472.1
COMMD6	COMMD6	COMMD6	TRUE	NP_987091.1	NP_987091.1
COMMD7	COMMD7	COMMD7	TRUE	NP_001092809.1	NP_001092809.1
COMMD8	COMMD8	COMMD8	TRUE	NP_060315.1	NP_060315.1
COMMD9	COMMD9	COMMD9	TRUE	NP_054905.2	NP_054905.2
